Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.8381319801,7.30399166544,0.0,6.91231341292,0.18508045723,0.18508045723,0.18508045723,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365212105196
 01/01  02:00:00,0.741208675795,7.86549384047,0.0,7.55402850026,0.20226268186,0.20226268186,0.20226268186,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287096989979
 01/01  03:00:00,0.707534573034,8.25619673133,0.0,7.96651321921,0.213307155081,0.213307155081,0.213307155081,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265597693493
 01/01  04:00:00,0.701494991881,8.53198787111,0.0,8.23662471712,0.220539518047,0.220539518047,0.220539518047,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271616373285
 01/01  05:00:00,0.705401846994,8.78411867401,0.0,8.42645885127,0.225622416673,0.225622416673,0.225622416673,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.33481007985
 01/01  06:00:00,0.758744328736,9.08269952947,0.0,8.45017341921,0.226257385433,0.226257385433,0.226257385433,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.607027633649
 01/01  07:00:00,0.981686031854,10.2752789993,0.0,9.12800586622,0.244406669431,0.244406669431,0.244406669431,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.1178121508
 01/01  08:00:00,1.26902360942,10.3051346316,0.0,9.01016861918,0.241251521472,0.241251521472,0.241251521472,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366151152
 01/01  09:00:00,1.21146795592,9.09476585018,0.0,7.83378897503,0.20975340074,0.20975340074,0.20975340074,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451072782
 01/01  10:00:00,1.04789951987,7.74360406987,0.0,6.59680730054,0.176632632016,0.176632632016,0.176632632016,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427193778
 01/01  11:00:00,1.05320006506,7.74564138812,0.0,6.7327340409,0.180272134705,0.180272134705,0.180272134705,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989852768923
 01/01  12:00:00,1.01584219034,5.55919141096,0.0,4.66830547626,0.124996084584,0.124996084584,0.124996084584,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867824293118
 01/01  13:00:00,0.962432758925,4.20233395586,0.0,3.40529244879,0.0911783140859,0.0911783140859,0.0911783140859,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774368346424
 01/01  14:00:00,0.918675446084,3.51331341973,0.0,2.77342689662,0.074259815413,0.074259815413,0.074259815413,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716429337283
 01/01  15:00:00,0.908691131408,3.22906095543,0.0,2.54260121261,0.0680793486742,0.0680793486742,0.0680793486742,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661681721775
 01/01  16:00:00,0.974187480199,3.38211203855,0.0,2.68822773301,0.0719785675565,0.0719785675565,0.0719785675565,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.66772894296
 01/01  17:00:00,1.22090628369,3.97491538629,0.0,3.20599453756,0.0858420183579,0.0858420183579,0.0858420183579,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737983638888
 01/01  18:00:00,1.69435749497,5.81532446136,0.0,4.9000505961,0.131201169652,0.131201169652,0.131201169652,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.87769009959
 01/01  19:00:00,1.95897555588,5.26531146793,0.0,4.20873820572,0.112690953801,0.112690953801,0.112690953801,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01576863635
 01/01  20:00:00,1.91400952646,5.37575838167,0.0,4.28862654375,0.114830001794,0.114830001794,0.114830001794,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04501344012
 01/01  21:00:00,1.79467320941,5.75874823987,0.0,4.74515690983,0.127053818025,0.127053818025,0.127053818025,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.970024957818
 01/01  22:00:00,1.66558036984,6.26152588391,0.0,5.34922498257,0.143228026054,0.143228026054,0.143228026054,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869751642866
 01/01  23:00:00,1.39423962233,6.80303477852,0.0,6.04990346456,0.161989023432,0.161989023432,0.161989023432,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716310383602
 01/01  24:00:00,1.12039916231,7.35161388117,0.0,6.77408323588,0.181379278935,0.181379278935,0.181379278935,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545533941964
 01/02  01:00:00,0.846364134942,7.8431819584,0.0,7.46527612745,0.199886295149,0.199886295149,0.199886295149,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351439683622
 01/02  02:00:00,0.747316815456,8.23374343758,0.0,7.92956487076,0.212317845596,0.212317845596,0.212317845596,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279810216594
 01/02  03:00:00,0.71091863351,8.47476792243,0.0,8.19042332643,0.219302453984,0.219302453984,0.219302453984,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260258777371
 01/02  04:00:00,0.700868257862,8.55383881421,0.0,8.26421228462,0.2212781882,0.2212781882,0.2212781882,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265879748886
 01/02  05:00:00,0.699253221372,8.64250803703,0.0,8.29658364494,0.222144946666,0.222144946666,0.222144946666,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323074649199
 01/02  06:00:00,0.748167271315,8.8069037998,0.0,8.2081472575,0.219777020612,0.219777020612,0.219777020612,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573258065686
 01/02  07:00:00,0.938849636714,8.99485087972,0.0,7.92500625513,0.212195786509,0.212195786509,0.212195786509,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04038364234
 01/02  08:00:00,1.20934720075,8.77239141691,0.0,7.57172353327,0.202736474729,0.202736474729,0.202736474729,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16936338272
 01/02  09:00:00,1.16626898831,8.51948890595,0.0,7.35717117655,0.196991734016,0.196991734016,0.196991734016,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13585158207
 01/02  10:00:00,1.01293020564,8.02838297994,0.0,6.97258943689,0.186694376248,0.186694376248,0.186694376248,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326871149
 01/02  11:00:00,1.03172289816,8.76686544378,0.0,7.83221276952,0.209711197093,0.209711197093,0.209711197093,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911598095963
 01/02  12:00:00,1.00564699864,7.07376649318,0.0,6.24786930729,0.167289652397,0.167289652397,0.167289652397,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802835544297
 01/02  13:00:00,0.969089241711,6.18017022969,0.0,5.43950450668,0.145645302963,0.145645302963,0.145645302963,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.717992562372
 01/02  14:00:00,0.931500672376,5.57127927735,0.0,4.88032749194,0.13067307422,0.13067307422,0.13067307422,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667494599583
 01/02  15:00:00,0.926194912914,5.29972261169,0.0,4.65757243581,0.124708702356,0.124708702356,0.124708702356,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.61737215484
 01/02  16:00:00,0.986792393859,5.19290723042,0.0,4.54305537949,0.121642454071,0.121642454071,0.121642454071,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623696488357
 01/02  17:00:00,1.21828773454,5.16461392306,0.0,4.44964654721,0.119141388457,0.119141388457,0.119141388457,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.684030166006
 01/02  18:00:00,1.6773280572,6.4348951645,0.0,5.58435196553,0.149523662104,0.149523662104,0.149523662104,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.812959433308
 01/02  19:00:00,1.93283545754,5.4865815474,0.0,4.51387632124,0.120861171001,0.120861171001,0.120861171001,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.931900600288
 01/02  20:00:00,1.8747746247,5.09555719486,0.0,4.10225644035,0.109839854228,0.109839854228,0.109839854228,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.951182356723
 01/02  21:00:00,1.74108875923,4.96991079658,0.0,4.0456704716,0.108324738182,0.108324738182,0.108324738182,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.880673952758
 01/02  22:00:00,1.59656557232,4.93880356827,0.0,4.10151814447,0.109820086007,0.109820086007,0.109820086007,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.794736165325
 01/02  23:00:00,1.3216715368,5.09048827481,0.0,4.39634259037,0.117714149831,0.117714149831,0.117714149831,0.371268979252,0.0769227476707,0.205880856148,0.534536803897,0.657324754084
 01/02  24:00:00,1.05091550403,5.29996109528,0.0,4.75922381277,0.127430465997,0.127430465997,0.127430465997,0.254901084073,0.05281263592,0.135920781757,0.464502536285,0.508740579175
 01/03  01:00:00,0.784728003249,5.54113310343,0.0,5.16331369337,0.138250163455,0.138250163455,0.138250163455,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351353262732
 01/03  02:00:00,0.680113559602,5.72370817161,0.0,5.41968363436,0.145114589743,0.145114589743,0.145114589743,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279656187033
